AskQuestion,1457845896538,erin,6,nana ?
AskQuestion,1457845950172,erin,6,what ?
AskQuestion,1457845969343,erin,24,can you reply ours sir ?
AskQuestion,1457845988766,erin,26,"don't just read, it is sad"
AskQuestion,1457846023769,erin,5,jeet?
AskQuestion,1457846040678,erin,20,please use space sir
AskQuestion,1457846050655,erin,14,we cannot read
AskQuestion,1457846087736,erin,5,space
AskQuestion,1457846090140,erin,5,space
AskQuestion,1457846092084,erin,5,space
AskQuestion,1457846097694,erin,6,please
AskQuestion,1457846099087,erin,6,please
AskQuestion,1457846100364,erin,6,please
AskQuestion,1457846150909,erin,28,kono kaban wa ikura desuka ?
AskQuestion,1457846158997,erin,5,SPACE
AskQuestion,1457846210274,erin,19,Ima nan ji desuka ?
AskQuestion,1457846242825,erin,19,juu ni ji han sir ?
AskQuestion,1457846288705,erin,20,-__________________-
